Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
100503,100503,2022/11/14 13:27:00,Quality,2311.00,Chloride as Cl,,5200.0,mg/L,43,Raw Data,
100503,100503,2023/11/14 12:29:00,Quality,2311.00,Chloride as Cl,,4700.0,mg/L,43,Raw Data,Spring Sampling 2023
100515,100515,1988/04/14 00:00:00,Quality,2311.00,Chloride as Cl,,94.0,mg/L,43,Raw Data,
100515,100515,1989/04/11 00:00:00,Quality,2311.00,Chloride as Cl,,140.0,mg/L,43,Raw Data,
100515,100515,1990/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,94.0,mg/L,43,Raw Data,
100515,100515,1993/03/04 00:00:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
100515,100515,1996/03/22 01:00:00,Quality,2311.00,Chloride as Cl,,100.0,mg/L,43,Raw Data,
100515,100515,2002/03/04 02:00:00,Quality,2311.00,Chloride as Cl,,91.0,mg/L,43,Raw Data,
100533,100533,1978/05/06 00:00:00,Quality,2311.00,Chloride as Cl,,187.0,mg/L,43,Raw Data,
100533,100533,1978/05/06 01:00:00,Quality,2311.00,Chloride as Cl,,193.0,mg/L,43,Raw Data,
100533,100533,2008/06/10 15:05:00,Quality,2311.00,Chloride as Cl,,189.0,mg/L,43,Raw Data,
100976,100976,1991/04/28 00:00:00,Quality,2311.00,Chloride as Cl,,41.0,mg/L,43,Raw Data,
100976,100976,1995/05/05 12:00:00,Quality,2311.00,Chloride as Cl,,49.0,mg/L,43,Raw Data,
100976,100976,2010/02/15 12:25:00,Quality,2311.00,Chloride as Cl,,58.0,mg/L,43,Raw Data,
100977,100977,1991/04/28 00:00:00,Quality,2311.00,Chloride as Cl,,140.0,mg/L,43,Raw Data,
100977,100977,1995/05/05 13:00:00,Quality,2311.00,Chloride as Cl,,92.0,mg/L,43,Raw Data,
100977,100977,2010/02/15 13:25:00,Quality,2311.00,Chloride as Cl,,389.0,mg/L,43,Raw Data,
100978,100978,1991/04/28 00:00:00,Quality,2311.00,Chloride as Cl,,42.0,mg/L,43,Raw Data,
100978,100978,1995/05/05 10:30:00,Quality,2311.00,Chloride as Cl,,37.0,mg/L,43,Raw Data,
100979,100979,1991/04/28 00:00:00,Quality,2311.00,Chloride as Cl,,180.0,mg/L,43,Raw Data,
100979,100979,1995/05/05 10:50:00,Quality,2311.00,Chloride as Cl,,200.0,mg/L,43,Raw Data,
100979,100979,2010/02/15 14:35:00,Quality,2311.00,Chloride as Cl,,170.0,mg/L,43,Raw Data,
100979,100979,2014/10/15 09:40:00,Quality,2311.00,Chloride as Cl,,216.0,mg/L,43,Raw Data,
101012,101012,1978/05/29 00:00:00,Quality,2311.00,Chloride as Cl,,675.0,mg/L,43,Raw Data,
101012,101012,1978/06/08 00:00:00,Quality,2311.00,Chloride as Cl,,504.0,mg/L,43,Raw Data,
101012,101012,1985/06/26 00:00:00,Quality,2311.00,Chloride as Cl,,780.0,mg/L,43,Raw Data,
101012,101012,1985/12/10 00:00:00,Quality,2311.00,Chloride as Cl,,760.0,mg/L,43,Raw Data,
101012,101012,1986/04/08 00:00:00,Quality,2311.00,Chloride as Cl,,790.0,mg/L,43,Raw Data,
101012,101012,1986/10/15 00:00:00,Quality,2311.00,Chloride as Cl,,830.0,mg/L,43,Raw Data,
101012,101012,1987/03/11 00:00:00,Quality,2311.00,Chloride as Cl,,820.0,mg/L,43,Raw Data,
101012,101012,1987/10/13 00:00:00,Quality,2311.00,Chloride as Cl,,870.0,mg/L,43,Raw Data,
101238,101238,1989/03/07 00:00:00,Quality,2311.00,Chloride as Cl,,64.0,mg/L,43,Raw Data,
101238,101238,1990/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,59.0,mg/L,43,Raw Data,
101238,101238,2008/06/10 16:13:00,Quality,2311.00,Chloride as Cl,,94.0,mg/L,43,Raw Data,
101241,101241,1988/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,29.0,mg/L,43,Raw Data,
101241,101241,1989/03/07 00:00:00,Quality,2311.00,Chloride as Cl,,39.0,mg/L,43,Raw Data,
101241,101241,1990/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,30.0,mg/L,43,Raw Data,
101241,101241,1993/03/05 00:00:00,Quality,2311.00,Chloride as Cl,,37.0,mg/L,43,Raw Data,
101241,101241,2001/01/01 00:00:00,Quality,2311.00,Chloride as Cl,,26.0,mg/L,43,Raw Data,
101241,101241,2008/09/08 11:35:00,Quality,2311.00,Chloride as Cl,,62.0,mg/L,43,Raw Data,
101246,101246,1981/11/03 00:00:00,Quality,2311.00,Chloride as Cl,,84.0,mg/L,43,Raw Data,
101246,101246,2008/06/10 17:31:00,Quality,2311.00,Chloride as Cl,,153.0,mg/L,43,Raw Data,
102621,102621,1987/09/02 00:00:00,Quality,2311.00,Chloride as Cl,,340.0,mg/L,43,Raw Data,
102621,102621,1988/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,320.0,mg/L,43,Raw Data,
102621,102621,1989/03/08 00:00:00,Quality,2311.00,Chloride as Cl,,330.0,mg/L,43,Raw Data,
102621,102621,1990/04/11 00:00:00,Quality,2311.00,Chloride as Cl,,330.0,mg/L,43,Raw Data,
102621,102621,1993/03/04 00:00:00,Quality,2311.00,Chloride as Cl,,350.0,mg/L,43,Raw Data,
102621,102621,1996/03/21 01:00:00,Quality,2311.00,Chloride as Cl,,330.0,mg/L,43,Raw Data,
102621,102621,2008/06/10 16:40:00,Quality,2311.00,Chloride as Cl,,400.0,mg/L,43,Raw Data,
102621,102621,2014/11/10 14:18:00,Quality,2311.00,Chloride as Cl,,534.0,mg/L,43,Raw Data,
102829,102829,1984/12/27 00:00:00,Quality,2311.00,Chloride as Cl,,1100.0,mg/L,43,Raw Data,
102829,102829,2012/09/24 15:30:00,Quality,2311.00,Chloride as Cl,,1180.0,mg/L,43,Raw Data,
102829,102829,2014/03/04 12:55:00,Quality,2311.00,Chloride as Cl,,1070.0,mg/L,43,Raw Data,
102829,102829,2014/10/16 09:14:00,Quality,2311.00,Chloride as Cl,,1040.0,mg/L,43,Raw Data,
102829,102829,2015/11/17 11:06:00,Quality,2311.00,Chloride as Cl,,1040.0,mg/L,43,Raw Data,
102829,102829,2016/12/01 10:46:00,Quality,2311.00,Chloride as Cl,,1100.0,mg/L,44,Raw Data,
102829,102829,2018/01/30 09:27:00,Quality,2311.00,Chloride as Cl,,1000.0,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2018/10/22 14:55:00,Quality,2311.00,Chloride as Cl,,1200.0,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2019/10/21 12:03:00,Quality,2311.00,Chloride as Cl,,1100.0,mg/L,43,Raw Data,GMW Spring Sampling Program
102829,102829,2020/10/27 13:03:00,Quality,2311.00,Chloride as Cl,,990.0,mg/L,43,Raw Data,
102829,102829,2021/12/13 11:13:00,Quality,2311.00,Chloride as Cl,,1100.0,mg/L,43,Raw Data,GMW_SpringSampling_2021
102829,102829,2022/11/24 07:43:00,Quality,2311.00,Chloride as Cl,,1200.0,mg/L,43,Raw Data,
102829,102829,2023/10/17 11:57:00,Quality,2311.00,Chloride as Cl,,970.0,mg/L,43,Raw Data,Spring Sampling 2023
102829,102829,2024/10/16 09:22:00,Quality,2311.00,Chloride as Cl,,1100.0,mg/L,43,Raw Data,Spring Sampling 2024
102869,102869,1985/10/15 00:00:00,Quality,2311.00,Chloride as Cl,,80.0,mg/L,43,Raw Data,
102869,102869,1985/10/15 01:00:00,Quality,2311.00,Chloride as Cl,,83.0,mg/L,43,Raw Data,
103354,103354,1986/12/08 00:00:00,Quality,2311.00,Chloride as Cl,,420.0,mg/L,43,Raw Data,
103354,103354,1988/03/29 00:00:00,Quality,2311.00,Chloride as Cl,,570.0,mg/L,43,Raw Data,
103354,103354,1989/03/31 00:00:00,Quality,2311.00,Chloride as Cl,,600.0,mg/L,43,Raw Data,
103354,103354,1990/04/04 00:00:00,Quality,2311.00,Chloride as Cl,,590.0,mg/L,43,Raw Data,
103354,103354,2008/04/15 11:00:00,Quality,2311.00,Chloride as Cl,,810.0,mg/L,43,Raw Data,
103582,103582,1974/07/24 00:00:00,Quality,2311.00,Chloride as Cl,,251.0,mg/L,43,Raw Data,
103582,103582,1981/07/15 00:00:00,Quality,2311.00,Chloride as Cl,,320.0,mg/L,43,Raw Data,
103811,103811,1990/10/30 00:00:00,Quality,2311.00,Chloride as Cl,,120.0,mg/L,43,Raw Data,
103811,103811,2008/06/25 10:46:00,Quality,2311.00,Chloride as Cl,,285.0,mg/L,43,Raw Data,
103811,103811,2009/07/07 11:30:00,Quality,2311.00,Chloride as Cl,,233.0,mg/L,43,Raw Data,
103811,103811,2014/03/26 15:10:00,Quality,2311.00,Chloride as Cl,,105.0,mg/L,43,Raw Data,
103820,103820,1993/02/11 00:00:00,Quality,2311.00,Chloride as Cl,,71.0,mg/L,43,Raw Data,
103820,103820,2008/06/25 11:20:00,Quality,2311.00,Chloride as Cl,,67.0,mg/L,43,Raw Data,
103822,103822,1993/03/30 00:00:00,Quality,2311.00,Chloride as Cl,,350.0,mg/L,43,Raw Data,
103822,103822,2015/02/10 00:00:00,Quality,2311.00,Chloride as Cl,,275.9,mg/L,45,Raw Data,
104083,104083,1975/11/25 00:00:00,Quality,2311.00,Chloride as Cl,,56.0,mg/L,43,Raw Data,
104083,104083,1975/12/05 00:00:00,Quality,2311.00,Chloride as Cl,,53.0,mg/L,43,Raw Data,
104083,104083,1975/12/05 01:00:00,Quality,2311.00,Chloride as Cl,,53.0,mg/L,43,Raw Data,
104083,104083,1980/06/12 00:00:00,Quality,2311.00,Chloride as Cl,,58.0,mg/L,43,Raw Data,
104093,104093,1975/07/06 00:00:00,Quality,2311.00,Chloride as Cl,,106.0,mg/L,43,Raw Data,
104093,104093,1980/06/12 00:00:00,Quality,2311.00,Chloride as Cl,,62.0,mg/L,43,Raw Data,
104097,104097,1975/07/10 00:00:00,Quality,2311.00,Chloride as Cl,,48.0,mg/L,43,Raw Data,
104097,104097,1976/04/08 00:00:00,Quality,2311.00,Chloride as Cl,,41.0,mg/L,43,Raw Data,
104097,104097,1976/04/09 00:00:00,Quality,2311.00,Chloride as Cl,,41.0,mg/L,43,Raw Data,
104097,104097,1980/06/12 00:00:00,Quality,2311.00,Chloride as Cl,,49.0,mg/L,43,Raw Data,
104099,104099,1975/08/05 00:00:00,Quality,2311.00,Chloride as Cl,,92.0,mg/L,43,Raw Data,
104099,104099,1975/10/03 00:00:00,Quality,2311.00,Chloride as Cl,,78.0,mg/L,43,Raw Data,
104099,104099,1980/04/02 00:00:00,Quality,2311.00,Chloride as Cl,,38.0,mg/L,43,Raw Data,
104099,104099,1980/06/12 00:00:00,Quality,2311.00,Chloride as Cl,,32.0,mg/L,43,Raw Data,
104101,104101,1976/05/18 00:00:00,Quality,2311.00,Chloride as Cl,,155.0,mg/L,43,Raw Data,
104101,104101,1976/07/08 00:00:00,Quality,2311.00,Chloride as Cl,,219.0,mg/L,43,Raw Data,
104101,104101,1976/07/08 01:00:00,Quality,2311.00,Chloride as Cl,,173.0,mg/L,43,Raw Data,
104101,104101,1976/07/16 00:00:00,Quality,2311.00,Chloride as Cl,,180.0,mg/L,43,Raw Data,
104101,104101,1976/07/17 00:00:00,Quality,2311.00,Chloride as Cl,,146.0,mg/L,43,Raw Data,
104101,104101,1976/07/18 00:00:00,Quality,2311.00,Chloride as Cl,,132.0,mg/L,43,Raw Data,
104101,104101,1976/07/19 00:00:00,Quality,2311.00,Chloride as Cl,,114.0,mg/L,43,Raw Data,
104101,104101,1976/07/20 00:00:00,Quality,2311.00,Chloride as Cl,,110.0,mg/L,43,Raw Data,
104101,104101,1976/07/21 00:00:00,Quality,2311.00,Chloride as Cl,,106.0,mg/L,43,Raw Data,
104101,104101,1976/07/22 00:00:00,Quality,2311.00,Chloride as Cl,,104.0,mg/L,43,Raw Data,
104101,104101,1976/07/23 00:00:00,Quality,2311.00,Chloride as Cl,,101.0,mg/L,43,Raw Data,
104101,104101,1976/07/24 00:00:00,Quality,2311.00,Chloride as Cl,,98.0,mg/L,43,Raw Data,
104101,104101,1976/07/25 00:00:00,Quality,2311.00,Chloride as Cl,,98.0,mg/L,43,Raw Data,
104101,104101,1976/07/26 00:00:00,Quality,2311.00,Chloride as Cl,,96.0,mg/L,43,Raw Data,
104101,104101,1976/07/27 00:00:00,Quality,2311.00,Chloride as Cl,,96.0,mg/L,43,Raw Data,
104101,104101,1980/07/28 00:00:00,Quality,2311.00,Chloride as Cl,,160.0,mg/L,43,Raw Data,
104101,104101,1980/07/28 01:00:00,Quality,2311.00,Chloride as Cl,,203.0,mg/L,43,Raw Data,
104101,104101,1980/07/28 02:00:00,Quality,2311.00,Chloride as Cl,,198.0,mg/L,43,Raw Data,
104101,104101,1980/07/28 03:00:00,Quality,2311.00,Chloride as Cl,,203.0,mg/L,43,Raw Data,
104101,104101,2023/03/16 10:02:00,Quality,2311.00,Chloride as Cl,,150.0,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
105132,105132,1974/10/21 00:00:00,Quality,2311.00,Chloride as Cl,,77.0,mg/L,43,Raw Data,
105132,105132,1974/12/16 00:00:00,Quality,2311.00,Chloride as Cl,,75.0,mg/L,43,Raw Data,
105132,105132,2008/04/08 13:20:00,Quality,2311.00,Chloride as Cl,,62.0,mg/L,43,Raw Data,
105132,105132,2008/06/25 14:19:00,Quality,2311.00,Chloride as Cl,,63.0,mg/L,43,Raw Data,
105392,105392,1966/09/13 00:00:00,Quality,2311.00,Chloride as Cl,,63.0,mg/L,43,Raw Data,
105392,105392,1970/08/07 00:00:00,Quality,2311.00,Chloride as Cl,,23.0,mg/L,43,Raw Data,
105392,105392,1970/10/10 00:00:00,Quality,2311.00,Chloride as Cl,,20.0,mg/L,43,Raw Data,
105392,105392,1971/01/06 00:00:00,Quality,2311.00,Chloride as Cl,,25.0,mg/L,43,Raw Data,
105392,105392,1980/06/11 00:00:00,Quality,2311.00,Chloride as Cl,,86.0,mg/L,43,Raw Data,
105392,105392,1981/02/05 00:00:00,Quality,2311.00,Chloride as Cl,,88.0,mg/L,43,Raw Data,
105392,105392,1981/05/28 00:00:00,Quality,2311.00,Chloride as Cl,,79.0,mg/L,43,Raw Data,
105392,105392,1981/11/27 00:00:00,Quality,2311.00,Chloride as Cl,,73.0,mg/L,43,Raw Data,
105392,105392,1983/09/07 00:00:00,Quality,2311.00,Chloride as Cl,,85.0,mg/L,43,Raw Data,
105476,105476,2008/04/02 10:40:00,Quality,2311.00,Chloride as Cl,,68.0,mg/L,43,Raw Data,
105476,105476,2009/07/08 16:05:00,Quality,2311.00,Chloride as Cl,,82.0,mg/L,43,Raw Data,
105476,105476,2014/03/26 07:50:00,Quality,2311.00,Chloride as Cl,,67.0,mg/L,43,Raw Data,
105483,REPLACED BY WRK119793,1986/04/08 00:00:00,Quality,2311.00,Chloride as Cl,,34.0,mg/L,43,Raw Data,
105483,REPLACED BY WRK119793,1986/04/18 00:00:00,Quality,2311.00,Chloride as Cl,,33.0,mg/L,43,Raw Data,
105483,REPLACED BY WRK119793,1986/04/19 00:00:00,Quality,2311.00,Chloride as Cl,,34.0,mg/L,43,Raw Data,
