Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
102829,102829,2022/11/24 07:43:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
102829,102829,2023/10/17 11:57:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,Spring Sampling 2023
102829,102829,2024/10/16 09:22:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,Spring Sampling 2024
103811,103811,2008/06/25 10:46:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.052,mg/L,43,Raw Data,
103811,103811,2014/03/26 15:10:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.020,mg/L,43,Raw Data,
104099,104099,1980/04/02 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
104099,104099,1980/06/12 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
104101,104101,1980/07/28 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.451,mg/L,43,Raw Data,
104101,104101,2023/03/16 10:02:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.050,mg/L,43,Raw Data,EPA Victoria Baseline Monitoring Program 2023
105132,105132,2008/04/08 13:20:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.500,mg/L,43,Raw Data,
105132,105132,2008/06/25 14:19:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.011,mg/L,43,Raw Data,
105392,105392,1966/09/13 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,9.707,mg/L,43,Raw Data,
105392,105392,1980/06/11 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.709,mg/L,43,Raw Data,
105392,105392,1981/02/05 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,4.063,mg/L,43,Raw Data,
105392,105392,1981/05/28 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,4.063,mg/L,43,Raw Data,
105392,105392,1981/11/27 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.354,mg/L,43,Raw Data,
105476,105476,2008/04/02 10:40:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,68.000,mg/L,43,Raw Data,
105476,105476,2009/07/08 16:05:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
105476,105476,2014/03/26 07:50:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,16.000,mg/L,43,Raw Data,
105936,105936,2012/10/10 14:05:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
105936,105936,2014/03/25 13:17:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
105936,105936,2014/10/14 13:44:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
105936,105936,2016/12/09 13:48:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,44,Raw Data,
107720,107720,2009/05/07 16:45:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
107720,107720,2009/05/07 17:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
108910,108910,2008/06/17 11:45:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.036,mg/L,43,Raw Data,
108910,108910,2009/08/25 12:30:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
109461,109461,1979/06/01 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.129,mg/L,43,Raw Data,
109461,109461,2009/06/18 16:30:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
109463,109463,1979/09/06 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
109463,109463,1979/09/06 01:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
109468,109468,1980/10/24 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
109468,109468,1980/10/24 01:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.129,mg/L,43,Raw Data,
109515,109515,1971/04/26 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,208.804,mg/L,43,Raw Data,
109515,109515,1971/04/28 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,225.508,mg/L,43,Raw Data,
109515,109515,2008/04/10 10:15:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,410.000,mg/L,43,Raw Data,
